"n","uc_y1_1990","uc_y1_2019","uc_y10_1990","uc_y10_2019","arbreak_y1_1990","arbreak_y1_2019","arbreak_y10_1990","arbreak_y10_2019","arlearn_y1_1990","arlearn_y1_2019","arlearn_y10_1990","arlearn_y10_2019"
152,1.38558659797445,0.837159849727863,1.8757895140745,0.966619423005213,2.45689486556168,0.783704879153728,3.16788890949183,1.63917238053764,2.57367449066724,1.27683425033495,3.4627972164878,2.04320288850834
153,1.3813701712179,0.834996735555072,1.86866198380378,0.963768205251533,2.4549439080334,0.782647648966182,3.16205354370218,1.6374171634804,2.57162910052698,1.27596092304226,3.45816269832147,2.04094061707827
154,1.37718450932495,0.832851535332751,1.86159665116964,0.960931599149782,2.45303728163566,0.781575156243198,3.15611052288979,1.63561590579776,2.56958842859777,1.27507767457889,3.4532559109955,2.0386659711764
155,1.37301628803924,0.830713878274301,1.85460782849123,0.958096626800962,2.45121601372039,0.78047423063166,3.15014165978844,1.6338691549341,2.56749802370148,1.27421303099224,3.44836917869257,2.0364031449507
156,1.36884965385434,0.828595510313177,1.84766425686645,0.955278890668259,2.44942600272313,0.779345860019045,3.14417981642012,1.63215239867944,2.56538974963222,1.27335150515722,3.44353035781295,2.03419103910897
157,1.36468690321272,0.826531301338779,1.8407662361769,0.952476040990022,2.44763475144859,0.778236389749643,3.13813101588272,1.63039322659738,2.56327669218157,1.27250542624205,3.43869656848372,2.03200804393397
158,1.36063965664627,0.824466660005977,1.83396966486335,0.949675635661249,2.44576737305662,0.777108296570939,3.13200253605539,1.62867202315925,2.5611858221478,1.27165374886955,3.43385001542933,2.02974817678214
159,1.3565686176585,0.822420502038542,1.82718177612909,0.946904395738269,2.44388099101958,0.776018646288064,3.12581923089989,1.62695303494592,2.55904621734952,1.2707806018572,3.42892235330092,2.02751069320559
160,1.35253070169452,0.820399968218901,1.82042212602273,0.94414857333358,2.44197707085027,0.774909009918526,3.11963087531666,1.62522036611993,2.55692500161736,1.26991704673329,3.42406214559377,2.02528878800936
161,1.34846097254446,0.818363188493153,1.81368463788754,0.941377923274711,2.44007412262416,0.773839363878454,3.11338842807738,1.62351893982482,2.5547886220079,1.26907953227019,3.41917178083088,2.02306451880051
162,1.34443563623257,0.816327229395656,1.80697332615966,0.938630797285849,2.43813053653469,0.772776784752806,3.10714223517827,1.62183474314742,2.55261608176988,1.26820757556368,3.4143055373169,2.02080706581581
163,1.34039484410038,0.814275193931388,1.80026286597525,0.935899192982247,2.43626043222781,0.771680222551859,3.10087290466189,1.6200996608521,2.55042127930904,1.26733997037606,3.40932469819896,2.0185416399036
164,1.33639336502934,0.812218437807433,1.79361230069796,0.933133072482212,2.43432081981106,0.770577793156639,3.0946240506234,1.61841066586397,2.54820837604061,1.26646694339969,3.40413380793109,2.01624265742017
165,1.33237651626713,0.810173423847784,1.78696817003485,0.93039557520066,2.43238114794179,0.769522763941419,3.08829767114829,1.61677191492931,2.54599140447149,1.26562178509213,3.39888887515096,2.01393506478424
166,1.32834664070539,0.808131947421705,1.78037611213287,0.927686224406051,2.43042122856707,0.768487764380134,3.08207481014771,1.61504974495566,2.54375635733519,1.26480413278482,3.39366478226968,2.01175229972842
167,1.32432258066779,0.806115902719492,1.77383770690215,0.925020797424333,2.42842606080248,0.767433095730146,3.07585566085614,1.61333002828207,2.54152694324515,1.26393802902348,3.38842774997286,2.00951343591838
168,1.32037105824635,0.804086488532493,1.7673824648602,0.922352298098476,2.42651047712365,0.766372737564731,3.06963914081626,1.611655642858,2.53938728994058,1.26305839964196,3.3830835567396,2.00725895090437
