date,mpu10
4/29/1991,1.208227208
4/30/1991,1.213850019
5/1/1991,1.20885308
5/2/1991,1.190890307
5/3/1991,1.173007006
5/6/1991,1.174588282
5/7/1991,1.162240987
5/8/1991,1.161421002
5/9/1991,1.143828219
5/10/1991,1.137276352
5/13/1991,1.115944173
5/14/1991,1.093504048
5/15/1991,1.081872669
5/16/1991,1.07363263
5/17/1991,1.079829191
5/20/1991,1.081744582
5/21/1991,1.048925614
5/22/1991,1.051523683
5/23/1991,1.055644743
5/24/1991,1.047737825
5/28/1991,1.054680771
5/29/1991,1.047429731
5/30/1991,1.050019463
5/31/1991,1.076961672
6/3/1991,1.112448184
6/4/1991,1.117287814
6/5/1991,1.135009875
6/6/1991,1.138098153
6/7/1991,1.171689957
6/10/1991,1.188317441
6/11/1991,1.193056934
6/12/1991,1.199259313
6/13/1991,1.202868447
6/14/1991,1.198337601
6/17/1991,1.198506848
6/18/1991,1.175572214
6/19/1991,1.166046356
6/20/1991,1.15802714
6/21/1991,1.163775537
6/24/1991,1.175883868
6/25/1991,1.176327737
6/26/1991,1.158642485
6/27/1991,1.151539833
6/28/1991,1.156391799
7/1/1991,1.171539644
7/2/1991,1.172514329
7/3/1991,1.173590078
7/5/1991,1.154667099
7/8/1991,1.158138072
7/9/1991,1.143883829
7/10/1991,1.130509641
7/11/1991,1.126542483
7/12/1991,1.09711419
7/15/1991,1.102510386
7/16/1991,1.10489586
7/17/1991,1.093599084
7/18/1991,1.08473257
7/19/1991,1.087832981
7/22/1991,1.093929686
7/23/1991,1.106286938
7/24/1991,1.092196933
7/25/1991,1.095782643
7/26/1991,1.092661342
7/29/1991,1.099332245
7/30/1991,1.101848062
7/31/1991,1.108838995
8/1/1991,1.112366726
8/2/1991,1.08019171
8/5/1991,1.083104882
8/6/1991,1.053210062
8/7/1991,1.06201339
8/8/1991,1.073310371
8/9/1991,1.09132303
8/12/1991,1.085642225
8/13/1991,1.077936487
8/14/1991,1.034329881
8/15/1991,1.043079491
8/16/1991,1.018299704
8/19/1991,1.036400682
8/20/1991,1.047676277
8/21/1991,1.01922889
8/22/1991,1.015170695
8/23/1991,0.992063939
8/26/1991,1.013943208
8/27/1991,1.025074356
8/28/1991,0.996777938
8/29/1991,1.003444013
8/30/1991,0.97839487
9/3/1991,0.986953806
9/4/1991,1.006163208
9/5/1991,1.01322846
9/6/1991,1.006957634
9/9/1991,1.011815794
9/10/1991,1.018062795
9/11/1991,1.015990528
9/12/1991,1.033956495
9/13/1991,1.021045593
9/16/1991,1.027248732
9/17/1991,1.032112754
9/18/1991,1.031929215
9/19/1991,1.041245341
9/20/1991,1.05198907
9/23/1991,1.05400005
9/24/1991,1.043328802
9/25/1991,1.049866167
9/26/1991,1.044837671
9/27/1991,1.034172281
9/30/1991,1.048659068
10/1/1991,1.048778345
10/2/1991,1.049548539
10/3/1991,1.047035006
10/4/1991,1.062555957
10/7/1991,1.068642267
10/8/1991,1.073218464
10/9/1991,1.096168584
10/10/1991,1.112648347
10/11/1991,1.08218606
10/14/1991,1.096853037
10/15/1991,1.11163792
10/16/1991,1.115453233
10/17/1991,1.125953804
10/18/1991,1.13180743
10/21/1991,1.150208636
10/22/1991,1.149127882
10/23/1991,1.150689514
10/24/1991,1.131264707
10/25/1991,1.133290162
10/28/1991,1.131739463
10/29/1991,1.104365891
10/30/1991,1.090522029
10/31/1991,1.086604625
11/1/1991,1.082968561
11/4/1991,1.086650324
11/5/1991,1.090236286
11/6/1991,1.083749591
11/7/1991,1.0504911
11/8/1991,1.062647593
11/11/1991,1.074142887
11/12/1991,1.076824404
11/13/1991,1.07717727
11/14/1991,1.055082518
11/15/1991,1.049740275
11/18/1991,1.056941834
11/19/1991,1.064429634
11/20/1991,1.064473867
11/21/1991,1.062248771
11/22/1991,1.073242351
11/25/1991,1.078977129
11/26/1991,1.095842932
11/27/1991,1.096637161
11/29/1991,1.0990858
12/2/1991,1.117187054
12/3/1991,1.116824123
12/4/1991,1.099878331
12/5/1991,1.105519282
12/6/1991,1.084692301
12/9/1991,1.089078136
12/10/1991,1.12066736
12/11/1991,1.114935402
12/12/1991,1.129876957
12/13/1991,1.151953618
12/16/1991,1.158444728
12/17/1991,1.132618509
12/18/1991,1.125155724
12/19/1991,1.117073922
12/20/1991,1.051647559
12/23/1991,1.067832065
12/24/1991,1.070016048
12/26/1991,1.074020913
12/27/1991,1.075204663
12/30/1991,1.091073574
12/31/1991,1.094547111
1/2/1992,1.119186321
1/3/1992,1.118176818
1/6/1992,1.142003142
1/7/1992,1.14558444
1/8/1992,1.216307383
1/9/1992,1.235149749
1/10/1992,1.277078601
1/13/1992,1.315232069
1/14/1992,1.40387052
1/15/1992,1.44096142
1/16/1992,1.447542971
1/17/1992,1.478064215
1/20/1992,1.474489376
1/21/1992,1.468881621
1/22/1992,1.476857087
1/23/1992,1.499106151
1/24/1992,1.523516388
1/27/1992,1.533838781
1/28/1992,1.515556439
1/29/1992,1.506126432
1/30/1992,1.481133376
1/31/1992,1.469663337
2/3/1992,1.473679519
2/4/1992,1.400041029
2/5/1992,1.310016872
2/6/1992,1.239651684
2/7/1992,1.188770929
2/10/1992,1.179713426
2/11/1992,1.202625509
2/12/1992,1.235223518
2/13/1992,1.312959509
2/14/1992,1.30846435
2/18/1992,1.316768084
2/19/1992,1.320388903
2/20/1992,1.31338071
2/21/1992,1.36306177
2/24/1992,1.370581721
2/25/1992,1.378178631
2/26/1992,1.40407575
2/27/1992,1.457455701
2/28/1992,1.387648746
3/2/1992,1.47163873
3/3/1992,1.52391228
3/4/1992,1.537323527
3/5/1992,1.577670194
3/6/1992,1.573067254
3/9/1992,1.536495257
3/10/1992,1.530143091
3/11/1992,1.528480123
3/12/1992,1.566029932
3/13/1992,1.596929919
3/16/1992,1.606684798
3/17/1992,1.613390444
3/18/1992,1.596951855
3/19/1992,1.580065643
3/20/1992,1.632051091
3/23/1992,1.638181406
3/24/1992,1.637046687
3/25/1992,1.626316902
3/26/1992,1.633447848
3/27/1992,1.619885709
3/30/1992,1.611152385
3/31/1992,1.616976456
4/1/1992,1.55398489
4/2/1992,1.537317811
4/3/1992,1.447034949
4/6/1992,1.465562656
4/7/1992,1.491923215
4/8/1992,1.507310105
4/9/1992,1.439506544
4/10/1992,1.47014842
4/13/1992,1.469859896
4/14/1992,1.460758552
4/15/1992,1.438802812
4/16/1992,1.459836202
4/20/1992,1.483347595
4/21/1992,1.470144015
4/22/1992,1.471596582
4/23/1992,1.460934707
4/24/1992,1.42480128
4/27/1992,1.457195565
4/28/1992,1.446581404
4/29/1992,1.424660007
4/30/1992,1.439966027
5/1/1992,1.41093981
5/4/1992,1.411829138
5/5/1992,1.39315404
5/6/1992,1.373477435
5/7/1992,1.379718496
5/8/1992,1.338671974
5/11/1992,1.314650982
5/12/1992,1.272896572
5/13/1992,1.238860936
5/14/1992,1.24242964
5/15/1992,1.230036106
5/18/1992,1.235412904
5/19/1992,1.205691194
5/20/1992,1.218613968
5/21/1992,1.285730614
5/22/1992,1.262337982
5/26/1992,1.301202498
5/27/1992,1.304604523
5/28/1992,1.290843195
5/29/1992,1.274652531
6/1/1992,1.335556165
6/2/1992,1.319673644
6/3/1992,1.301343547
6/4/1992,1.292369259
6/5/1992,1.223019272
6/8/1992,1.205049681
6/9/1992,1.207568712
6/10/1992,1.201385429
6/11/1992,1.18460352
6/12/1992,1.173533482
6/15/1992,1.152198991
6/16/1992,1.089250286
6/17/1992,1.111352555
6/18/1992,1.133900611
6/19/1992,1.161196702
6/22/1992,1.180067727
6/23/1992,1.210906279
6/24/1992,1.199071707
6/25/1992,1.189800035
6/26/1992,1.193339232
6/29/1992,1.166509667
6/30/1992,1.168771972
7/1/1992,1.140341473
7/2/1992,1.026051734
7/6/1992,1.025726476
7/7/1992,1.045534319
7/8/1992,1.132904296
7/9/1992,1.135026248
7/10/1992,1.120520637
7/13/1992,1.149267862
7/14/1992,1.167387414
7/15/1992,1.236175178
7/16/1992,1.233216894
7/17/1992,1.230373867
7/20/1992,1.235327772
7/21/1992,1.228911074
7/22/1992,1.193894269
7/23/1992,1.124266989
7/24/1992,1.136772116
7/27/1992,1.144858838
7/28/1992,1.152042988
7/29/1992,1.192237111
7/30/1992,1.239558822
7/31/1992,1.239568553
8/3/1992,1.258261144
8/4/1992,1.285836084
8/5/1992,1.286409275
8/6/1992,1.283231231
8/7/1992,1.225963673
8/10/1992,1.237707401
8/11/1992,1.252531674
8/12/1992,1.255817711
8/13/1992,1.259990762
8/14/1992,1.245898664
8/17/1992,1.236273383
8/18/1992,1.20368532
8/19/1992,1.204836318
8/20/1992,1.208429843
8/21/1992,1.240267299
8/24/1992,1.29688002
8/25/1992,1.296715184
8/26/1992,1.292231378
8/27/1992,1.279618893
8/28/1992,1.224030648
8/31/1992,1.221323353
9/1/1992,1.198141873
9/2/1992,1.212956243
9/3/1992,1.23665914
9/4/1992,1.16553986
9/8/1992,1.147019287
9/9/1992,1.146720849
9/10/1992,1.158541165
9/11/1992,1.210775103
9/14/1992,1.277215704
9/15/1992,1.2975234
9/16/1992,1.308420552
9/17/1992,1.311356873
9/18/1992,1.314447922
9/21/1992,1.287093368
9/22/1992,1.280469372
9/23/1992,1.262743119
9/24/1992,1.271517375
9/25/1992,1.2891645
9/28/1992,1.304752039
9/29/1992,1.334780653
